sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
5354,140,Capparaceae,Capparaceae,,234480,Brassicales,1
5355,140,Brassicaceae,Brassicaceae,,234480,Brassicales,1
5356,140,Gentianaceae,Gentianaceae,,5492,Gentianales,1
5357,140,Hydrophyllaceae,Hydrophyllaceae,,5489,Solanales,1
5358,140,Psilotaceae,Psilotaceae,,5493,Psilotales,1
5359,140,Lycopodiaceae,Lycopodiaceae,,5494,Lycopodiales,1
5360,140,Selaginellaceae,Selaginellaceae,,5495,Selaginellales,1
5361,140,Isoetaceae,Isoetaceae,,5496,Isoetales,1
5362,140,Equisetaceae,Equisetaceae,,5497,Equisetales,1
5363,140,Ophioglossaceae,Ophioglossaceae,,5498,Ophioglossales,1
5364,140,Alismataceae,Alismataceae,,5499,Alismatales,1
5365,140,Lennoaceae,Lennoaceae,,5500,Lamiales,1
5366,140,Boraginaceae,Boraginaceae,,234498,Boraginales,1
5367,140,Dennstaedtiaceae,Dennstaedtiaceae,,5488,Polypodiales,1
5368,140,Polypodiaceae,Polypodiaceae,,5488,Polypodiales,1
5369,140,Hydrocharitaceae,Hydrocharitaceae,,5499,Alismatales,1
5370,140,Juncaginaceae,Juncaginaceae,,5499,Alismatales,1
5371,140,Najadaceae,Najadaceae,,5502,Najadales,1
5372,140,Poaceae,Poaceae,,234442,Poales,1
5373,140,Blechnaceae,Blechnaceae,,5488,Polypodiales,1
5374,140,Marsileaceae,Marsileaceae,,234339,Salviniales,1
5375,140,Caprifoliaceae,Caprifoliaceae,,5504,Dipsacales,1
5376,140,Valerianaceae,Valerianaceae,,5504,Dipsacales,1
5377,140,Dipsacaceae,Dipsacaceae,,5504,Dipsacales,1
5378,140,Asteraceae,Asteraceae,,5505,Asterales,1
5379,140,Potamogetonaceae,Potamogetonaceae,,5499,Alismatales,1
5380,140,Ruppiaceae,Ruppiaceae,,5499,Alismatales,1
5381,140,Zannichelliaceae,Zannichelliaceae,,5502,Najadales,1
5382,140,Resedaceae,Resedaceae,,234480,Brassicales,1
5383,140,Ericaceae,Ericaceae,,5507,Ericales,1
5384,140,Commelinaceae,Commelinaceae,,5506,Commelinales,1
5385,140,Juncaceae,Juncaceae,,234442,Poales,1
5386,140,Callitrichaceae,Callitrichaceae,,5485,Callitrichales,1
5387,140,Verbenaceae,Verbenaceae,,5500,Lamiales,1
5388,140,Cyperaceae,Cyperaceae,,234442,Poales,1
5389,140,Pyrolaceae,Pyrolaceae,,5507,Ericales,1
5390,140,Monotropaceae,Monotropaceae,,5507,Ericales,1
5391,140,Lamiaceae,Lamiaceae,,5500,Lamiales,1
5392,140,Sapotaceae,Sapotaceae,,5507,Ericales,1
5393,140,Primulaceae,Primulaceae,,5507,Ericales,1
5394,140,Azolliaceae,Azolliaceae,,5503,Hydropteridales,1
5395,140,Pinaceae,Pinaceae,,5487,Pinales,1
5396,140,Cupressaceae,Cupressaceae,,5487,Pinales,1
5397,140,Saururaceae,Saururaceae,,5513,Piperales,1
5398,140,Aristolochiaceae,Aristolochiaceae,,5513,Piperales,1
5399,140,Nymphaeaceae,Nymphaeaceae,,5515,Nymphaeales,1
5400,140,Ceratophyllaceae,Ceratophyllaceae,,234407,Ceratophyllales,1
5401,140,Ranunculaceae,Ranunculaceae,,5516,Ranunculales,1
5402,140,Plantaginaceae,Plantaginaceae,,5500,Lamiales,1
5403,140,Buddlejaceae,Buddlejaceae,,5518,Scrophulariales,1
5404,140,Oleaceae,Oleaceae,,5500,Lamiales,1
5405,140,Haloragaceae,Haloragaceae,,234467,Saxifragales,1
5406,140,Hippuridaceae,Hippuridaceae,,5485,Callitrichales,1
5407,140,Lythraceae,Lythraceae,,5520,Myrtales,1
5408,140,Myrtaceae,Myrtaceae,,5520,Myrtales,1
5409,140,Punicaceae,Punicaceae,,5520,Myrtales,1
5410,140,Onagraceae,Onagraceae,,5520,Myrtales,1
5411,140,Berberidaceae,Berberidaceae,,5516,Ranunculales,1
5412,140,Menispermaceae,Menispermaceae,,5516,Ranunculales,1
5413,140,Papaveraceae,Papaveraceae,,5516,Ranunculales,1
5414,140,Fumariaceae,Fumariaceae,,5521,Papaverales,1
5415,140,Portulacaceae,Portulacaceae,,5534,Caryophyllales,1
5416,140,Combretaceae,Combretaceae,,5520,Myrtales,1
5417,140,Elaeagnaceae,Elaeagnaceae,,5527,Rosales,1
5418,140,Cornaceae,Cornaceae,,5522,Cornales,1
5419,140,Chenopodiaceae,Chenopodiaceae,,5534,Caryophyllales,1
5420,140,Garryaceae,Garryaceae,,234504,Garryales,1
5421,140,Santalaceae,Santalaceae,,5523,Santalales,1
5422,140,Rafflesiaceae,Rafflesiaceae,,5524,Rafflesiales,1
5423,140,Celastraceae,Celastraceae,,5525,Celastrales,1
5424,140,Amaranthaceae,Amaranthaceae,,5534,Caryophyllales,1
5425,140,Polygonaceae,Polygonaceae,,5534,Caryophyllales,1
5426,140,Hydrangeaceae,Hydrangeaceae,,5522,Cornales,1
5427,140,Grossulariaceae,Grossulariaceae,,234467,Saxifragales,1
5428,140,Crassulaceae,Crassulaceae,,234467,Saxifragales,1
5429,140,Saxifragaceae,Saxifragaceae,,234467,Saxifragales,1
5430,140,Rosaceae,Rosaceae,,5527,Rosales,1
5431,140,Scrophulariaceae,Scrophulariaceae,,5500,Lamiales,1
5432,140,Platanaceae,Platanaceae,,16519,Proteales,1
5433,140,Ulmaceae,Ulmaceae,,5527,Rosales,1
5434,140,Moraceae,Moraceae,,5527,Rosales,1
5435,140,Cannabaceae,Cannabaceae,,5527,Rosales,1
5436,140,Urticaceae,Urticaceae,Juss.,5527,Rosales,1
5437,140,Juglandaceae,Juglandaceae,,5531,Fagales,1
5438,140,Fagaceae,Fagaceae,,5531,Fagales,1
5439,140,Betulaceae,Betulaceae,,5531,Fagales,1
5440,140,Sparganiaceae,Sparganiaceae,,5532,Typhales,1
5441,140,Typhaceae,Typhaceae,,234442,Poales,1
5442,140,Bromeliaceae,Bromeliaceae,,234442,Poales,1
5443,140,Phytolaccaceae,Phytolaccaceae,,5534,Caryophyllales,1
5444,140,Nyctaginaceae,Nyctaginaceae,,5534,Caryophyllales,1
5445,140,Euphorbiaceae,Euphorbiaceae,,234486,Malpighiales,1
5446,140,Cactaceae,Cactaceae,,5534,Caryophyllales,1
5447,140,Araceae,Araceae,,5499,Alismatales,1
5448,140,Lemnaceae,Lemnaceae,,5537,Arales,1
5449,140,Pontederiaceae,Pontederiaceae,,5506,Commelinales,1
5450,140,Liliaceae,Liliaceae,,5538,Liliales,1
5451,140,Aizoaceae,Aizoaceae,,5534,Caryophyllales,1
5452,140,Molluginaceae,Molluginaceae,,5534,Caryophyllales,1
5453,140,Caryophyllaceae,Caryophyllaceae,,5534,Caryophyllales,1
5454,140,Rhamnaceae,Rhamnaceae,,5527,Rosales,1
5455,140,Plumbaginaceae,Plumbaginaceae,,5534,Caryophyllales,1
5456,140,Crossosomataceae,Crossosomataceae,,234482,Crossosomatales,1
5457,140,Vitaceae,Vitaceae,,234478,Vitales,1
5458,140,Sapindaceae,Sapindaceae,,5542,Sapindales,1
5459,140,Elatinaceae,Elatinaceae,,234486,Malpighiales,1
5460,140,Clusiaceae,Clusiaceae,,234486,Malpighiales,1
5461,140,Aceraceae,Aceraceae,,5542,Sapindales,1
5462,140,Burseraceae,Burseraceae,,5542,Sapindales,1
5463,140,Anacardiaceae,Anacardiaceae,,5542,Sapindales,1
5464,140,Tiliaceae,Tiliaceae,,5543,Malvales,1
5465,140,Sterculiaceae,Sterculiaceae,,5543,Malvales,1
5466,140,Simaroubaceae,Simaroubaceae,,5542,Sapindales,1
5467,140,Rutaceae,Rutaceae,,5542,Sapindales,1
5468,140,Malvaceae,Malvaceae,,5543,Malvales,1
5469,140,Apocynaceae,Apocynaceae,,5492,Gentianales,1
5470,140,Asclepiadaceae,Asclepiadaceae,,5492,Gentianales,1
5471,140,Solanaceae,Solanaceae,,5489,Solanales,1
