sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
126183,140,Icmadophilaceae,Icmadophilaceae,Triebel,51680,Pertusariales,1
126184,140,Miltideaceae,Miltideaceae,,51671,Lecanorales,1
126185,140,Sarrameanaceae,Sarrameanaceae,Hafellner,127300,Ostropomycetidae,1
126186,140,Xanthopyreniaceae,Xanthopyreniaceae,Zahlbr.,51658,Ascomycota,1
126976,140,Incertae sedis,Incertae sedis,,51657,Fungi,1
127044,140,Helotiaceae,Helotiaceae,Rhem,127043,Helotiales,1
127114,140,Amphisphaeriaceae,Amphisphaeriaceae,G. Winter,127113,Xylariales,1
127134,140,Gloeoheppiaceae,Gloeoheppiaceae,Henssen,51673,Lichinales,1
127135,140,Celotheliaceae,Celotheliaceae,"Leucking, Aptroot & Sipman",51683,Pyrenulales,1
127137,140,Bionectriaceae,Bionectriaceae,Samuels & Rossman,51670,Hypocreales,1
127143,140,Herpotrichiellaceae,Herpotrichiellaceae,Munk,127142,Chaetothyriales,1
127277,140,Ochrolechiaceae,Ochrolechiaceae,R. C. Harris ex Lumbsch & I. Schmitt,51680,Pertusariales,1
127287,140,Hygrophoraceae,Hygrophoraceae,Lotsy,51687,Agaricales,1
127293,140,Ropalosporaceae,Ropalosporaceae,Hafellner,127350,Lecanoromycetidae,1
127306,140,Thelocarpaceae,Thelocarpaceae,Zukal,127305,Thelebolales,1
127307,140,Obryzaceae,Obryzaceae,Korb.,127111,Sordariomycetes,1
127308,140,Anamylopsoraceae,Anamylopsoraceae,Lumbsch & Lunke,127291,Baeomycetales,1
127310,140,Botryosphaeriaceae,Botryosphaeriaceae,Theiss. & H. Syd.,127309,Botryosphaeriales,1
127311,140,Epigloeaceae,Epigloeaceae,Zahlbr.,51658,Ascomycota,1
127312,140,Pseudoperisporiaceae,Pseudoperisporiaceae,Toro,127136,Dothideomycetes,1
127315,140,Nitschkiaceae,Nitschkiaceae,(Fitzp.) Nannf.,127314,Hypocreomycetidae,1
127318,140,Microascaceae,Microascaceae,Luttr. ex Malloch,127317,Microascales,1
127319,140,Naetrocymbaceae,Naetrocymbaceae,Höhn. ex R. C. Harris,127136,Dothideomycetes,1
127320,140,Didymellaceae,Didymellaceae,"Gruyter, Aveskamp& Verkley",51682,Pleosporales,1
127321,140,Microthyriaceae,Microthyriaceae,Sacc.,127136,Dothideomycetes,1
