sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
51724,4,140,Agyriaceae,Agyriaceae,Corda,127301,Agyriales,1
51725,4,140,Alectoriaceae,Alectoriaceae,NULL,51671,Lecanorales,1
51726,4,140,Arctomiaceae,Arctomiaceae,"Th. Fr.",127300,Ostropomycetidae,1
51728,4,140,Biatorellaceae,Biatorellaceae,"M. Choisy ex Hafellner & Casares-Porcel",51671,Lecanorales,1
51729,4,140,Brigantiaceae,Brigantiaceae,"Hafellner & Bellem.",127350,"Lecanoromycetidae, families incertae sedis",1
51730,4,140,Candelariaceae,Candelariaceae,Hakul.,127330,Candelariales,1
51731,4,140,Catillariaceae,Catillariaceae,Hafellner,51671,Lecanorales,1
51732,4,140,Cladoniaceae,Cladoniaceae,Zenker,51671,Lecanorales,1
51733,4,140,Coccocarpiaceae,Coccocarpiaceae,"(Mont. ex Mull. Stuttg.) Henssen",127303,Collematineae,1
51734,4,140,Collemataceae,Collemataceae,Zenker,127303,Collematineae,1
51735,4,140,Crocyniaceae,Crocyniaceae,"M. Choisy ex Hafellner",51671,Lecanorales,1
51736,4,140,Ectolechiaceae,Ectolechiaceae,NULL,51671,Lecanorales,1
51737,4,140,Eigleraceae,Eigleraceae,NULL,51671,Lecanorales,1
51738,4,140,Gypsoplaceae,Gypsoplaceae,Timdal,51671,Lecanorales,1
51739,4,140,Haematommataceae,Haematommataceae,Hafellner,51671,Lecanorales,1
51740,4,140,Heppiaceae,Heppiaceae,Zahlbr.,51673,Lichinales,1
51741,4,140,Hymeneliaceae,Hymeneliaceae,Korb.,127300,Ostropomycetidae,1
51742,4,140,Lecanoraceae,Lecanoraceae,Korb.,51671,Lecanorales,1
51743,4,140,Lecideaceae,Lecideaceae,Chevall.,127350,"Lecanoromycetidae, families incertae sedis",1
51744,4,140,Letrouitiaceae,Letrouitiaceae,"Bellem. & Hafellner",51685,Teloschistales,1
51745,4,140,Megalosporaceae,Megalosporaceae,"Vezda ex Hafellner & Bellem.",51685,Teloschistales,1
51746,4,140,Micareaceae,Micareaceae,NULL,51671,Lecanorales,1
51747,4,140,Mycoblastaceae,Mycoblastaceae,Hafellner,51671,Lecanorales,1
51748,4,140,Ophioparmaceae,Ophioparmaceae,"R. W. Rogers & Hafellner",127350,"Lecanoromycetidae, families incertae sedis",1
51749,4,140,Pannariaceae,Pannariaceae,Tuck.,127303,Collematineae,1
51750,4,140,Parmeliaceae,Parmeliaceae,Zenker,51671,Lecanorales,1
51751,4,140,Pertusariaceae,Pertusariaceae,"Korb. ex Korb.",51680,Pertusariales,1
51752,4,140,Physciaceae,Physciaceae,Zahlbr.,51685,Teloschistales,1
51753,4,140,Pilocarpaceae,Pilocarpaceae,Zahlbr.,51671,Lecanorales,1
51755,4,140,Psoraceae,Psoraceae,Zahlbr.,51671,Lecanorales,1
51756,4,140,Ramalinaceae,Ramalinaceae,"C. Agardh",51671,Lecanorales,1
51757,4,140,Rhizocarpaceae,Rhizocarpaceae,"M. Choisy ex Hafellner",127350,"Lecanoromycetidae, families incertae sedis",1
51759,4,140,Schaereriaceae,Schaereriaceae,Hafellner,51671,Lecanorales,1
51760,4,140,Stereocaulaceae,Stereocaulaceae,Chevall.,51671,Lecanorales,1
51761,4,140,Trapeliaceae,Trapeliaceae,"M. Choisy ex Hertel",127291,Baeomycetales,1
