sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
5550,3,70,Asteridae,Asteridae,NULL,5567,Magnoliopsida,1
5551,3,70,Alismatidae,Alismatidae,NULL,5566,Liliopsida,1
5552,3,70,Commelinidae,Commelinidae,NULL,5566,Liliopsida,1
5554,3,70,Magnoliidae,Magnoliidae,NULL,5567,Magnoliopsida,1
5555,3,70,Rosidae,Rosidae,NULL,5567,Magnoliopsida,1
5556,3,70,Hamamelidae,Hamamelidae,NULL,5567,Magnoliopsida,1
5557,3,70,Caryophyllidae,Caryophyllidae,NULL,5567,Magnoliopsida,1
5558,3,70,Arecidae,Arecidae,NULL,5566,Liliopsida,1
5559,3,70,Liliidae,Liliidae,NULL,5566,Liliopsida,1
5560,3,70,Dilleniidae,Dilleniidae,NULL,5567,Magnoliopsida,1
16468,3,70,Hamamelididae,Hamamelididae,NULL,5567,Magnoliopsida,1
16702,3,70,Jungermanniidae,Jungermanniidae,NULL,16633,Hepaticopsida,1
16752,3,70,Marchantiae,Marchantiae,NULL,16703,Hepatopsida,1
16753,3,70,Jungermanniae,Jungermanniae,NULL,16703,Hepatopsida,1
16811,3,70,Sphagnidae,Sphagnidae,NULL,16699,Sphagnopsida,1
16812,3,70,Andreaeidae,Andreaeidae,NULL,16700,Andreaeopsida,1
16814,3,70,Bryidae,Bryidae,NULL,16698,Bryopsida,1
234392,3,75,Magnoliids,Magnoliids,NULL,5570,Magnoliophyta,1
234395,3,75,unnamed clade 87,unnamed clade 87,NULL,5570,Magnoliophyta,1
234434,3,75,Commelinids,Commelinids,NULL,234393,Monocots,1
234438,3,75,unnamed clade 97,unnamed clade 97,NULL,234393,Monocots,1
234449,3,75,unnamed clade 77a,unnamed clade 77a,NULL,234435,Core Eudicots,1
234450,3,75,unnamed clade 77b,unnamed clade 77b,NULL,234435,Core Eudicots,1
234451,3,75,unnamed clade 71a,unnamed clade 71a,NULL,234435,Core Eudicots,1
234452,3,75,unnamed clade 71b,unnamed clade 71b,NULL,234435,Core Eudicots,1
234453,3,75,unnamed clade 79a,unnamed clade 79a,NULL,234435,Core Eudicots,1
234454,3,75,unnamed clade 79b,unnamed clade 79b,NULL,234435,Core Eudicots,1
234458,3,75,Asterids,Asterids,NULL,234435,Core Eudicots,1
234459,3,75,unnamed clade 73a,unnamed clade 73a,NULL,234435,Core Eudicots,1
234460,3,75,unnamed clade 73b,unnamed clade 73b,NULL,234435,Core Eudicots,1
234461,3,75,unnamed clade 81,unnamed clade 81,NULL,234435,Core Eudicots,1
234466,3,75,Rosids,Rosids,NULL,234435,Core Eudicots,1
234468,3,75,unnamed clade 75,unnamed clade 75,NULL,234435,Core Eudicots,1
234469,3,75,unnamed clade 83a,unnamed clade 83a,NULL,234458,Asterids,1
234470,3,75,unnamed clade 83b,unnamed clade 83b,NULL,234458,Asterids,1
234473,3,75,Fabids,Fabids,NULL,234466,Rosids,1
234475,3,75,Malvids,Malvids,NULL,234466,Rosids,1
234476,3,75,unnamed clade 85a,unnamed clade 85a,NULL,234458,Asterids,1
234477,3,75,unnamed clade 85b,unnamed clade 85b,NULL,234458,Asterids,1
234481,3,75,Campanulids,Campanulids,NULL,234458,Asterids,1
234485,3,75,Lamiids,Lamiids,NULL,234458,Asterids,1
5477,3,100,Campanulales,Campanulales,NULL,5550,Asteridae,1
5478,3,100,Rubiales,Rubiales,NULL,5550,Asteridae,1
5479,3,100,Orchidales,Orchidales,NULL,5559,Liliidae,1
5480,3,100,Geraniales,Geraniales,NULL,234475,Malvids,1
5481,3,100,Linales,Linales,NULL,5555,Rosidae,1
5482,3,100,Polygalales,Polygalales,NULL,5555,Rosidae,1
5483,3,100,Violales,Violales,NULL,5560,Dilleniidae,1
5484,3,100,Apiales,Apiales,NULL,234481,Campanulids,1
5485,3,100,Callitrichales,Callitrichales,NULL,5550,Asteridae,1
